k	L	method	density	density_std	runtime	runtime_std		
20	60	decycling	0.0400848	8.88309E-05	0.2189	0.0007	0	0
20	60	double	0.0400352	0.000069624	0.2873	0.0009	0	0
20	70	random	0.0390363	0.00201767	0.0377	0.00249199	0	0
20	70	decycling	0.0333479	3.15838E-05	0.2189	0.000538516	0	0
20	70	double	0.0333305	2.76438E-05	0.287	0.000447214	0	0
20	80	random	0.0330632	0.00223787	0.0367	0.00100499	0	0
20	80	decycling	0.0285946	2.33626E-05	0.2185	0.0005	0	0
20	80	double	0.0285864	2.23195E-05	0.2865	0.0005	0	0
20	90	random	0.0275661	0.0001792	0.036	6.93889E-18	0	0
20	90	decycling	0.0250254	4.21682E-05	0.2181	0.0003	0	0
20	90	double	0.025029	3.36746E-05	0.2868	0.0004	0	0
20	100	random	0.0243502	0.000498765	0.0357	0.000458258	0	0
20	100	decycling	0.0222091	4.65535E-05	0.2181	0.000830662	0	0
20	100	double	0.0222305	3.88193E-05	0.2861	0.0003	0	0
20	110	random	0.0217935	0.000492228	0.0353	0.000458258	0	0
20	110	decycling	0.0200218	2.69758E-05	0.2179	0.000538516	0	0
20	110	double	0.0200266	2.74505E-05	0.2888	0.00295973	0	0
20	120	random	0.0196764	0.000428862	0.0352	0.0004	0	0
20	120	decycling	0.0182165	2.00675E-05	0.2185	0.00136015	0	0
20	120	double	0.0182121	0.000021467	0.286	0	0	0
20	130	random	0.0179969	0.0009463	0.0352	0.0006	0	0
20	130	decycling	0.0166765	3.27784E-05	0.2177	0.000640312	0	0
20	130	double	0.0166644	1.06824E-05	0.2861	0.0007	0	0
20	140	random	0.0164489	0.000471527	0.0344	0.000489898	0	0
20	140	decycling	0.0153976	3.94183E-05	0.2178	0.0004	0	0
20	140	double	0.0154026	3.19862E-05	0.2874	0.000916515	0	0
20	150	random	0.0151386	0.000172204	0.035	0.000774597	0	0
20	150	decycling	0.0142916	1.83546E-05	0.2191	0.00144568	0	0
20	150	double	0.0143005	0.000033965	0.286	0	0	0
20	160	random	0.0140971	0.000200997	0.0342	0.0004	0	0
20	160	decycling	0.0133564	0.000029119	0.2362	0.0125841	0	0
20	160	double	0.0133408	0.000021167	0.2864	0.00142829	0	0
20	170	random	0.0133453	0.000412667	0.0346	0.000663325	0	0
20	170	decycling	0.0125015	1.91945E-05	0.2193	0.00352278	0	0
