k	L	method	density	density_std	runtime	runtime_std	maxbin	maxbin_std
20	180	double	0.0117632	0.000015959	0.5406	0.00873155	189.8	50.7106
20	190	random	0.0115507	0.000108091	0.0646	0.0008	205.2	68.4
20	190	decycling	0.011114	1.52684E-05	0.4142	0.0247095	171	0
20	190	double	0.0111039	2.74694E-05	0.5809	0.0462287	171	0
20	200	random	0.0109716	0.000133325	0.0647	0.000640312	209.7	56.1196
20	200	decycling	0.0105237	1.51053E-05	0.4128	0.0182143	199.1	54.3
20	200	double	0.0105264	1.54418E-05	0.5369	0.00301496	204	47.0404
20	210	random	0.0103722	9.46531E-05	0.0643	0.000458258	227	72.1679
20	210	decycling	0.0100047	1.66896E-05	0.406	0.00219089	191	0
20	210	double	0.00999792	8.90249E-06	0.5362	0.00166132	191	0
20	220	random	0.00997136	0.000349109	0.0681	0.00181384	233.7	67.516
20	220	decycling	0.00952347	1.75993E-05	0.4156	0.0305293	221.1	60.3
20	220	double	0.00951884	8.67144E-06	0.5356	0.0012	237.2	57.3739
20	230	random	0.00937638	4.32184E-05	0.0644	0.0008	225.2	42.6
20	230	decycling	0.00908756	9.74581E-06	0.4059	0.00242693	269	82.7418
20	230	double	0.0090766	1.58847E-05	0.5349	0.0003	216.5	16.5
20	240	random	0.00894312	5.85986E-05	0.0642	0.0004	251.5	65.6266
20	240	decycling	0.0086936	1.70502E-05	0.4067	0.00355106	221	0
20	240	double	0.00869841	1.18096E-05	0.5352	0.0006	274.7	88.244
20	250	random	0.00857341	0.000052943	0.0845	0.0415072	262.6	68.5656
20	250	decycling	0.00833412	8.34016E-06	0.4379	0.0483703	262.3	70.9141
20	250	double	0.00833444	0.000017986	0.5354	0.00128062	254.1	69.3
100	110	random	0.167169	0.00760161	0.6954	0.00990152	11	0
100	110	decycling	0.167202	0.00475003	22.0898	0.563011	11	0
100	110	double	0.165326	0.00367171	28.6484	0.0298469	11	0
100	120	random	0.0917399	0.0038953	0.661	0.0067082	21	0
100	120	decycling	0.0904902	0.00330858	21.8323	0.0123211	21	0
100	120	double	0.0902226	0.00248739	28.658	0.0940096	21	0
100	130	random	0.0620668	0.00260502	0.6456	0.00821219	31	0
100	130	decycling	0.0613886	0.00062853	21.8389	0.0131107	31	0
100	130	double	0.0619905	0.00134319	29.0583	0.369822	31	0
100	140	random	0.0471967	0.00152278	0.6377	0.00467012	41	0
100	140	decycling	0.0480697	0.00162349	21.8212	0.0229556	41	0
100	140	double	0.0449843	0.000472919	28.8279	0.537486	41	0
100	150	random	0.0384348	0.00120336	0.633	0.00328634	51	0
100	150	decycling	0.0378646	0.00106332	21.7761	0.0185604	51	0
100	150	double	0.0339209	8.93478E-05	28.671	0.314704	51	0
100	160	random	0.0319089	0.000698332	0.6291	0.0017	61	0
100	160	decycling	0.031416	0.00090059	22.1614	0.544321	61	0
100	160	double	0.0270807	6.17745E-05	28.7502	0.413168	61	0
100	170	random	0.027751	0.000509192	0.6246	0.00149666	71	0
100	170	decycling	0.0270222	0.000733526	21.8862	0.230799	71	0
100	170	double	0.0228234	7.15569E-05	28.5453	0.0223251	71	0
100	180	random	0.0243682	0.000616188	0.6256	0.00434051	81	0
100	180	decycling	0.0226	0.000405107	21.7857	0.0211237	81	0
100	180	double	0.0197114	5.13849E-05	28.5588	0.0813152	81	0
100	190	random	0.0216426	0.000808402	0.6209	0.00450444	91	0
100	190	decycling	0.0194747	0.000409038	21.9049	0.318113	91	0
100	190	double	0.0171689	0.000020995	28.5839	0.107658	91	0
100	200	random	0.0195078	0.000227924	0.62	0.002	101	0
100	200	decycling	0.0170245	0.000256379	21.8425	0.232374	101	0
100	200	double	0.0152355	0.000015159	28.5723	0.126989	101	0
100	210	random	0.0181418	0.000793814	0.6204	0.0060696	111	0
100	210	decycling	0.0151862	0.000189559	22.1635	0.241371	111	0
100	210	double	0.0138318	9.09767E-06	28.6025	0.166272	111	0
100	220	random	0.0162149	0.000143743	0.6159	0.000830662	121	0
100	220	decycling	0.0137013	8.68492E-05	21.7452	0.0209418	121	0
100	220	double	0.012723	8.37625E-06	28.6004	0.170615	121	0
100	230	random	0.0153224	0.000536802	0.6165	0.00498498	131	0
100	230	decycling	0.0124767	0.000055314	21.7561	0.0163979	131	0
100	230	double	0.0118119	1.00179E-05	28.577	0.028931	131	0
100	240	random	0.0140479	0.000373481	0.6143	0.00286531	141	0
100	240	decycling	0.0114921	2.29288E-05	21.7673	0.0165653	141	0
100	240	double	0.011052	8.18757E-06	28.7494	0.556217	141	0
100	250	random	0.0130811	0.000106067	0.6129	0.00266271	151	0
