k	L	method	density	density_std	runtime	runtime_std		
20	200	double	0.0106325	0	8.324	0	0	0
20	210	random	0.0106792	0	1.045	0	0	0
20	210	decycling	0.0101297	0	6.302	0	0	0
20	210	double	0.0101334	0	8.368	0	0	0
20	220	random	0.0099507	0	1.033	0	0	0
20	220	decycling	0.00963952	0	6.481	0	0	0
20	220	double	0.00966178	0	8.504	0	0	0
20	230	random	0.00965115	0	1.104	0	0	0
20	230	decycling	0.00913718	0	6.298	0	0	0
20	230	double	0.00922372	0	8.317	0	0	0
20	240	random	0.00920365	0	1.036	0	0	0
20	240	decycling	0.00883562	0	6.316	0	0	0
20	240	double	0.00873775	0	8.504	0	0	0
20	250	random	0.0086205	0	1.051	0	0	0
20	250	decycling	0.00837207	0	6.293	0	0	0
20	250	double	0.00845586	0	8.318	0	0	0
11	20	random	0.178364	0	1.507	0	0	0
11	20	decycling	0.166783	0	4.905	0	0	0
11	20	double	0.149132	0	5.591	0	0	0
11	20	decycling_set	0.161098	0	2.15	0	0	0
11	20	docks	0.164222	0	2.396	0	0	0
11	30	random	0.0997993	0	1.335	0	0	0
11	30	decycling	0.080673	0	4.593	0	0	0
11	30	double	0.0801578	0	5.657	0	0	0
11	30	decycling_set	0.0811085	0	1.942	0	0	0
11	30	docks	0.0887924	0	2.147	0	0	0
11	40	random	0.0635181	0	1.189	0	0	0
11	40	decycling	0.0576661	0	4.721	0	0	0
11	40	double	0.0572689	0	5.408	0	0	0
11	40	decycling_set	0.057679	0	1.95	0	0	0
11	40	docks	0.0590191	0	2.044	0	0	0
11	50	random	0.0518225	0	1.192	0	0	0
11	50	decycling	0.0448445	0	4.682	0	0	0
11	50	double	0.0446472	0	5.372	0	0	0
11	50	decycling_set	0.0449784	0	1.899	0	0	0
11	50	docks	0.0460296	0	2.037	0	0	0
11	60	random	0.0418524	0	1.204	0	0	0
11	60	decycling	0.0365814	0	4.472	0	0	0
11	60	double	0.0369806	0	5.357	0	0	0
11	60	decycling_set	0.036852	0	1.89	0	0	0
11	60	docks	0.0372485	0	1.954	0	0	0
11	70	random	0.0327222	0	1.124	0	0	0
11	70	decycling	0.0312188	0	4.454	0	0	0
11	70	double	0.0311389	0	5.329	0	0	0
11	70	decycling_set	0.0312501	0	1.897	0	0	0
11	70	docks	0.0319522	0	1.916	0	0	0
11	80	random	0.0277065	0	1.102	0	0	0
11	80	decycling	0.026952	0	4.622	0	0	0
11	80	double	0.0271311	0	5.503	0	0	0
11	80	decycling_set	0.0269075	0	1.916	0	0	0
11	80	docks	0.0270189	0	2.122	0	0	0
11	90	random	0.0251226	0	1.094	0	0	0
11	90	decycling	0.0243508	0	4.435	0	0	0
11	90	double	0.0236852	0	5.308	0	0	0
11	90	decycling_set	0.0237754	0	1.864	0	0	0
11	90	docks	0.0237793	0	1.888	0	0	0
11	100	random	0.0227108	0	1.092	0	0	0
11	100	decycling	0.0215513	0	4.417	0	0	0
11	100	double	0.0212583	0	5.477	0	0	0
11	100	decycling_set	0.0212282	0	1.833	0	0	0
11	100	docks	0.021455	0	2.198	0	0	0
11	110	random	0.019513	0	1.205	0	0	0
11	110	decycling	0.0192168	0	4.588	0	0	0
11	110	double	0.0192346	0	5.27	0	0	0
11	110	decycling_set	0.0191789	0	1.851	0	0	0
11	110	docks	0.0192737	0	2.1	0	0	0
11	120	random	0.0180856	0	1.067	0	0	0
11	120	decycling	0.017542	0	4.42	0	0	0
11	120	double	0.0180849	0	5.297	0	0	0
11	120	decycling_set	0.0178963	0	1.858	0	0	0
11	120	docks	0.0181156	0	1.826	0	0	0
11	130	random	0.0168301	0	1.062	0	0	0
11	130	decycling	0.0162861	0	4.392	0	0	0
11	130	double	0.0162223	0	5.279	0	0	0
11	130	decycling_set	0.0163369	0	1.831	0	0	0
11	130	docks	0.0161682	0	1.843	0	0	0
11	140	random	0.0157761	0	1.066	0	0	0
11	140	decycling	0.0149281	0	4.386	0	0	0
11	140	double	0.014972	0	5.271	0	0	0
11	140	decycling_set	0.0149387	0	1.813	0	0	0
11	140	docks	0.0153179	0	2.078	0	0	0
11	150	random	0.0144128	0	1.063	0	0	0
11	150	decycling	0.014069	0	4.428	0	0	0
11	150	double	0.0139797	0	5.238	0	0	0
11	150	decycling_set	0.0141426	0	2.054	0	0	0
11	150	docks	0.0150657	0	1.877	0	0	0
11	160	random	0.0134486	0	1.055	0	0	0
11	160	decycling	0.0132661	0	4.485	0	0	0
11	160	double	0.0130484	0	5.453	0	0	0
11	160	decycling_set	0.0135607	0	1.913	0	0	0
11	160	docks	0.0134433	0	1.841	0	0	0
11	170	random	0.0128662	0	1.057	0	0	0
11	170	decycling	0.0123219	0	4.476	0	0	0
11	170	double	0.0125337	0	5.254	0	0	0
11	170	decycling_set	0.0123266	0	1.831	0	0	0
11	170	docks	0.0124446	0	1.848	0	0	0
11	180	random	0.0121206	0	1.106	0	0	0
11	180	decycling	0.0115277	0	4.461	0	0	0
11	180	double	0.0115239	0	5.264	0	0	0
11	180	decycling_set	0.0116155	0	1.843	0	0	0
11	180	docks	0.0121907	0	1.835	0	0	0
11	190	random	0.011172	0	1.043	0	0	0
11	190	decycling	0.0113491	0	4.624	0	0	0
11	190	double	0.0111273	0	5.241	0	0	0
11	190	decycling_set	0.0109145	0	1.83	0	0	0
11	190	docks	0.0117527	0	1.861	0	0	0
11	200	random	0.0106037	0	1.038	0	0	0
11	200	decycling	0.0104276	0	4.45	0	0	0
11	200	double	0.0103855	0	5.265	0	0	0
11	200	decycling_set	0.0103866	0	1.821	0	0	0
11	200	docks	0.0106105	0	1.856	0	0	0
11	15	random	0.378026	0	2.181	0	0	0
11	15	decycling	0.328004	0	5.273	0	0	0
11	15	double	0.310619	0	6	0	0	0
11	15	decycling_set	0.354661	0	2.727	0	0	0
7	100	random	0.0231856	0	1.107	0	0	0
7	100	decycling	0.0208861	0	3.83	0	0	0
7	100	double	0.0211652	0	4.129	0	0	0
7	100	decycling_set	0.0211224	0	1.545	0	0	0
7	100	docks	0.0210178	0	1.635	0	0	0
8	100	random	0.0208688	0	1.073	0	0	0
8	100	decycling	0.0224571	0	4.102	0	0	0
8	100	double	0.0209635	0	4.462	0	0	0
8	100	decycling_set	0.0216081	0	1.514	0	0	0
8	100	docks	0.021245	0	1.545	0	0	0
9	100	random	0.0215452	0	1.08	0	0	0
9	100	decycling	0.0212538	0	4.098	0	0	0
9	100	double	0.0211076	0	4.698	0	0	0
9	100	decycling_set	0.0210377	0	1.482	0	0	0
9	100	docks	0.0212603	0	1.498	0	0	0
10	100	random	0.0216203	0	1.084	0	0	0
10	100	decycling	0.0215962	0	4.395	0	0	0
10	100	double	0.0217101	0	5.016	0	0	0
10	100	decycling_set	0.0214115	0	1.496	0	0	0
10	100	docks	0.0212515	0	1.538	0	0	0
11	100	random	0.0223865	0	1.086	0	0	0
11	100	decycling	0.0212785	0	4.411	0	0	0
11	100	double	0.0211748	0	5.373	0	0	0
11	100	decycling_set	0.0213465	0	1.853	0	0	0
11	100	docks	0.021173	0	1.827	0	0	0
12	100	random	0.0248754	0	1.132	0	0	0
12	100	decycling	0.0213845	0	4.859	0	0	0
12	100	double	0.0215878	0	5.661	0	0	0
12	100	decycling_set	0.0213697	0	2.099	0	0	0
13	100	random	0.0229267	0	1.088	0	0	0
13	100	decycling	0.0214245	0	4.812	0	0	0
13	100	double	0.0214717	0	6.794	0	0	0
13	100	decycling_set	0.0215153	0	2.223	0	0	0
14	100	random	0.0235859	0	1.284	0	0	0
14	100	decycling	0.0216824	0	5.044	0	0	0
14	100	double	0.021756	0	6.285	0	0	0
14	100	decycling_set	0.0261641	0	2.639	0	0	0
15	100	random	0.0239561	0	1.097	0	0	0
15	100	decycling	0.0218688	0	5.232	0	0	0
15	100	double	0.0220817	0	6.626	0	0	0
15	100	decycling_set	0.0227775	0	4.025	0	0	0
5	100	random	0.0209563	0	1.102	0	0	0
5	100	decycling	0.0212389	0	3.692	0	0	0
5	100	double	0.0226719	0	4.204	0	0	0
5	100	decycling_set	0.0211296	0	1.672	0	0	0
6	100	random	0.0209179	0	1.082	0	0	0
6	100	decycling	0.0232856	0	4.153	0	0	0
6	100	double	0.020992	0	4.117	0	0	0
6	100	decycling_set	0.021476	0	1.628	0	0	0
								
11	15	Miniception	0.2991638414	0	412.0179638863	0		
11	20	Miniception	0.1688274925	0	408.1366541386	0		
11	30	Miniception	0.0916596544	0	396.1776106358	0		
11	40	Miniception	0.0650977056	0	392.5730164051	0		
11	50	Miniception	0.0500483487	0	397.3684117794	0		
11	60	Miniception	0.0386625689	0	391.5189344883	0		
11	70	Miniception	0.0318028669	0	391.2400872707	0		
11	80	Miniception	0.0279219224	0	394.0127253532	0		
11	90	Miniception	0.024266267	0	395.6432409287	0		
11	100	Miniception	0.021775816	0	394.19069767	0		
11	110	Miniception	0.0196630596	0	392.6065969467	0		
11	120	Miniception	0.0181312134	0	395.3125374317	0		
11	130	Miniception	0.0166438377	0	395.2478523254	0		
11	140	Miniception	0.0152485665	0	393.7604050636	0		
11	150	Miniception	0.0142374334	0	397.4342544079	0		
11	160	Miniception	0.0135415546	0	395.4950242043	0		
11	170	Miniception	0.0125507055	0	391.5959105492	0		
11	180	Miniception	0.0117348212	0	395.6846404076	0		
11	190	Miniception	0.0111611843	0	391.0361719131	0		
11	200	Miniception	0.0107639968	0	392.3145289421	0		
20	30	Miniception	0.1598036948	0	402.094230175	0		
20	40	Miniception	0.0853017089	0	393.4502863884	0		
20	50	Miniception	0.0577810694	0	391.6987559795	0		
20	60	Miniception	0.0447806408	0	390.5238115788	0		
20	70	Miniception	0.0361898241	0	391.3990135193	0		
20	80	Miniception	0.0332948925	0	389.9250576496	0		
20	90	Miniception	0.0269356192	0	389.9124572277	0		
20	100	Miniception	0.0237475519	0	391.6084725857	0		
20	110	Miniception	0.0213581448	0	391.3115348816	0		
20	120	Miniception	0.0190555394	0	389.427795887	0		
20	130	Miniception	0.0174067604	0	389.2534091473	0		
20	140	Miniception	0.0163207794	0	391.1706907749	0		
20	150	Miniception	0.0152623429	0	389.3197577	0		
20	160	Miniception	0.0147723442	0	390.49077034	0		
20	170	Miniception	0.0134621827	0	389.8888003826	0		
20	180	Miniception	0.0120422841	0	389.4998188019	0		
20	190	Miniception	0.0114751816	0	390.3590910435	0		
20	200	Miniception	0.0109832317	0	389.9916346073	0		
20	210	Miniception	0.0103467138	0	391.881500721	0		
20	220	Miniception	0.0099714892	0	390.2039525509	0		
20	230	Miniception	0.0093118998	0	390.2191641331	0		
20	240	Miniception	0.0089149067	0	389.1590454578	0		
20	250	Miniception	0.0084586823	0	391.9426624775	0		
50	60	Miniception	0.162924174	0	416.8563742638	0		
50	70	Miniception	0.0791489275	0	407.131197691	0		
50	80	Miniception	0.0587372352	0	401.9460842609	0		
50	90	Miniception	0.040875161	0	387.3865396976	0		
50	100	Miniception	0.0347375517	0	384.7623276711	0		
50	110	Miniception	0.0303386157	0	384.6152515411	0		
50	120	Miniception	0.0259125113	0	383.4181475639	0		
50	130	Miniception	0.0232990852	0	385.0629687309	0		
50	140	Miniception	0.0205636116	0	383.6081094742	0		
50	150	Miniception	0.0183966278	0	383.9120213985	0		
50	160	Miniception	0.0193092194	0	384.3646059036	0		
