k	L	method	density	density_std	runtime	runtime_std		
100	360	decycling	0.00659271	0.000007548	10.6623	0.00286531	0	0
100	360	double	0.00659504	5.9686E-06	14.1301	0.293358	0	0
100	370	random	0.00747423	0.000248763	0.2986	0.00253772	0	0
100	370	decycling	0.00637422	8.4932E-06	10.7319	0.220839	0	0
100	370	double	0.00637514	3.52007E-06	14.1619	0.410401	0	0
100	380	random	0.00709648	5.32045E-05	0.3002	0.00373631	0	0
100	380	decycling	0.00617644	7.33171E-06	10.6755	0.0283699	0	0
100	380	double	0.00617111	0.000007658	14.1645	0.307698	0	0
100	390	random	0.0069816	0.00019774	0.2998	0.00419047	0	0
100	390	decycling	0.00598943	7.56192E-06	10.6688	0.0102645	0	0
100	390	double	0.00599151	8.56612E-06	14.0526	0.0031686	0	0
100	400	random	0.00678402	0.000367483	0.3008	0.00391918	0	0
100	400	decycling	0.00581856	6.68883E-06	10.6942	0.112802	0	0
100	400	double	0.00581475	0.0000068	14.0377	0.0107056	0	0
100	410	random	0.00649042	0.000176604	0.2989	0.00494874	0	0
100	410	decycling	0.00565106	5.20092E-06	10.6506	0.00682935	0	0
100	410	double	0.0056511	4.77488E-06	14.1011	0.106711	0	0
100	420	random	0.00622488	3.14793E-05	0.2968	0.00248193	0	0
100	420	decycling	0.00549572	5.97181E-06	10.7309	0.249052	0	0
100	420	double	0.00549903	6.59354E-06	14.0966	0.224795	0	0
100	430	random	0.00609784	0.000172513	0.2958	0.00263818	0	0
100	430	decycling	0.0053556	9.48381E-06	10.7718	0.322768	0	0
100	430	double	0.00535101	5.92519E-06	14.0362	0.00857671	0	0
100	440	random	0.00589208	6.22536E-05	0.2962	0.00351568	0	0
100	440	decycling	0.00521422	9.08165E-06	10.6548	0.0191249	0	0
100	440	double	0.00521673	5.66516E-06	14.0386	0.0185914	0	0
100	450	random	0.00576092	0.000153807	0.2984	0.00385227	0	0
100	450	decycling	0.00508128	9.20924E-06	10.6961	0.00443734	0	0
100	450	double	0.00508034	8.15031E-06	14.0627	0.067289	0	0
100	460	random	0.00557524	5.58418E-05	0.2955	0.00224722	0	0
100	460	decycling	0.00495522	0.00000513	10.6824	0.0466202	0	0
100	460	double	0.00495761	5.54178E-06	14.011	0.00268328	0	0
100	470	random	0.00540476	3.26753E-05	0.531	0.0133041	0	0
100	470	decycling	0.00484171	0.000007323	10.6638	0.0032187	0	0
100	470	double	0.00484073	9.46683E-06	14.02	0.0142197	0	0
100	480	random	0.00526835	4.79452E-05	0.2976	0.005004	0	0
100	480	decycling	0.00472706	6.06468E-06	10.6492	0.00545527	0	0
100	480	double	0.00473224	9.25991E-06	14.0366	0.0571055	0	0
100	490	random	0.00514513	5.06764E-05	0.2939	0.00151327	0	0
100	490	decycling	0.004621	7.49847E-06	10.7917	0.250369	0	0
100	490	double	0.00462834	6.49073E-06	14.0891	0.227981	0	0
100	500	random	0.00502289	5.54143E-05	0.2949	0.00164012	0	0
100	500	decycling	0.00451385	5.84639E-06	10.6933	0.0207945	0	0
100	500	double	0.00451869	6.75649E-06	14.1114	0.229546	0	0
50	60	random	0.169122	0.00788243	0.0438	0.00256125	0	0
50	60	decycling	0.169612	0.00676909	0.482	0.00753658	0	0
50	60	double	0.1679	0.00591177	0.6229	0.00472123	0	0
50	70	random	0.0888406	0.00213045	0.0363	0.000640312	0	0
50	70	decycling	0.0895233	0.00243255	0.4742	0.00401995	0	0
50	70	double	0.085255	0.000797371	0.6152	0.00153623	0	0
50	80	random	0.0627547	0.00330569	0.0348	0.001249	0	0
50	80	decycling	0.0630858	0.00434598	0.4722	0.00305941	0	0
50	80	double	0.0527341	0.000259009	0.6135	0.0021095	0	0
50	90	random	0.0474632	0.00144342	0.0343	0.0009	0	0
50	90	decycling	0.0437132	0.00121491	0.47	0.00306594	0	0
50	90	double	0.0385835	7.64101E-05	0.6112	0.000748331	0	0
50	100	random	0.0387914	0.00132877	0.0339	0.000538516	0	0
50	100	decycling	0.0333635	0.000429279	0.469	0.00209762	0	0
50	100	double	0.0299399	1.46819E-05	0.6104	0.000663325	0	0
50	110	random	0.0321148	0.000726421	0.0332	0.0006	0	0
50	110	decycling	0.0270509	0.000150982	0.4677	0.00214709	0	0
50	110	double	0.0251436	1.21203E-05	0.6101	0.000538516	0	0
50	120	random	0.0283316	0.00155695	0.0327	0.0009	0	0
50	120	decycling	0.0227298	4.75587E-05	0.4675	0.0019105	0	0
50	120	double	0.0218916	1.38085E-05	0.6097	0.000640312	0	0
50	130	random	0.0243038	0.000303074	0.0329	0.0003	0	0
50	130	decycling	0.0199339	2.63731E-05	0.4679	0.0025865	0	0
50	130	double	0.019557	0.000037442	0.6102	0.00087178	0	0
50	140	random	0.0215298	0.000214224	0.0324	0.000489898	0	0
50	140	decycling	0.0179257	2.66042E-05	0.4667	0.00179165	0	0
50	140	double	0.0177398	2.21082E-05	0.6102	0.000748331	0	0
50	150	random	0.019526	0.000159971	0.0321	0.0003	0	0
50	150	decycling	0.0163485	2.56871E-05	0.4699	0.00250799	0	0
50	150	double	0.0162894	3.04477E-05	0.6097	0.0009	0	0
50	160	random	0.0178092	0.000444035	0.0343	0.0009	0	0
50	160	decycling	0.0150914	1.25167E-05	0.4669	0.00175784	0	0
50	160	double	0.0150624	1.96165E-05	0.6097	0.00100499	0	0
50	170	random	0.0162822	0.000138537	0.0319	0.0003	0	0
50	170	decycling	0.0140372	8.73747E-06	0.4665	0.0019105	0	0
50	170	double	0.014036	1.05728E-05	0.6097	0.0009	0	0
50	180	random	0.0150021	0.000118144	0.0317	0.000458258	0	0
50	180	decycling	0.013097	1.39802E-05	0.4688	0.00231517	0	0
50	180	double	0.0131006	1.43374E-05	0.6122	0.000748331	0	0
50	190	random	0.0139897	0.000172832	0.0317	0.000458258	0	0
