k	L	method	density	density_std				
50	70	random	0.0940284	0.00462086	0.0782	0.00208806	0	0
50	70	decycling	0.091603	0.00290422	0.971	0.00279285	0	0
50	70	double	0.0859925	0.000606626	1.2611	0.00674463	0	0
50	80	random	0.0641555	0.00457666	0.0731	0.00211896	0	0
50	80	decycling	0.0623007	0.00328228	0.9674	0.00372022	0	0
50	80	double	0.0533179	0.000324222	1.2509	0.0035623	0	0
50	90	random	0.0477458	0.00183697	0.0715	0.00168819	0	0
50	90	decycling	0.0446861	0.00151357	0.9645	0.00269258	0	0
50	90	double	0.0390367	0.00032548	1.2471	0.000943398	0	0
50	100	random	0.040229	0.00204405	0.0711	0.00122066	0	0
50	100	decycling	0.0333017	0.000444437	0.9616	0.00128062	0	0
50	100	double	0.0302078	0.000139726	1.2455	0.000921954	0	0
50	110	random	0.0329921	0.00118133	0.0696	0.00111355	0	0
50	110	decycling	0.0270773	0.00023615	0.9581	0.00104403	0	0
50	110	double	0.0252906	4.91727E-05	1.2447	0.000640312	0	0
50	120	random	0.0280663	0.000307248	0.068	0.000632456	0	0
50	120	decycling	0.0227886	9.48081E-05	0.9578	0.00116619	0	0
50	120	double	0.021939	6.51515E-05	1.2447	0.0009	0	0
50	130	random	0.0257832	0.00186495	0.069	0.00272029	0	0
50	130	decycling	0.0199805	4.40212E-05	0.9572	0.000979796	0	0
50	130	double	0.0195532	6.69952E-05	1.2453	0.0026096	0	0
50	140	random	0.0224809	0.000911936	0.0674	0.000916515	0	0
50	140	decycling	0.0179711	4.35509E-05	0.9553	0.000781025	0	0
50	140	double	0.0177082	0.000100389	1.2442	0.0004	0	0
50	150	random	0.0198626	0.000598716	0.0665	0.00120416	0	0
50	150	decycling	0.0163586	4.25803E-05	0.9595	0.00728354	0	0
50	150	double	0.0162535	8.82433E-05	1.2443	0.000640312	0	0
50	160	random	0.0181465	0.000379692	0.0661	0.000538516	0	0
50	160	decycling	0.0151578	8.44854E-05	0.9552	0.000979796	0	0
50	160	double	0.0150458	3.41789E-05	1.2498	0.00172047	0	0
50	170	random	0.0169754	0.00074942	0.0664	0.00168523	0	0
50	170	decycling	0.0140401	2.38499E-05	0.9562	0.00087178	0	0
50	170	double	0.0140211	2.94635E-05	1.244	0.00134164	0	0
50	180	random	0.0160504	0.000939256	0.0662	0.00087178	0	0
50	180	decycling	0.0130336	0.000131747	0.9558	0.00087178	0	0
50	180	double	0.0130736	8.18098E-05	1.2446	0.00272764	0	0
50	190	random	0.0141685	0.00023426	0.0652	0.0004	0	0
50	190	decycling	0.012299	1.63616E-05	0.9553	0.00148661	0	0
50	190	double	0.0122968	1.07962E-05	1.244	0.000632456	0	0
50	200	random	0.0134932	0.000230439	0.0652	0.0006	0	0
50	200	decycling	0.0115979	1.60792E-05	0.9612	0.000979796	0	0
50	200	double	0.011623	6.53083E-05	1.2441	0.0007	0	0
50	210	random	0.0126295	0.000580262	0.0651	0.00104403	0	0
50	210	decycling	0.0109714	2.94649E-05	0.9569	0.00238537	0	0
50	210	double	0.0109687	0.000010357	1.2439	0.00104403	0	0
50	220	random	0.01199	0.00046953	0.0651	0.00113578	0	0
50	220	decycling	0.0103578	9.05516E-05	0.9553	0.00167631	0	0
50	220	double	0.0103819	1.34941E-05	1.2451	0.00436921	0	0
50	230	random	0.0111865	0.000204089	0.0648	0.0006	0	0
50	230	decycling	0.00985647	1.47005E-05	0.9572	0.00611228	0	0
50	230	double	0.0098228	0.000072324	1.2473	0.0011	0	0
50	240	random	0.0107752	0.000807656	0.067	0.00148324	0	0
50	240	decycling	0.00940553	1.43939E-05	0.9548	0.000979796	0	0
50	240	double	0.00940011	3.26556E-05	1.2441	0.00202237	0	0
50	250	random	0.0101271	0.000334151	0.0646	0.000916515	0	0
50	250	decycling	0.00899691	4.60597E-05	0.956	0.00419524	0	0
50	250	double	0.00898913	0.000008922	1.2433	0.00100499	0	0
50	260	random	0.00961493	0.000395775	0.0644	0.0010198	0	0
50	260	decycling	0.0085987	1.48825E-05	0.9553	0.000640312	0	0
50	260	double	0.00859819	1.04854E-05	1.2445	0.00111803	0	0
50	270	random	0.00920353	0.000210782	0.0644	0.000489898	0	0
50	270	decycling	0.0082522	3.75755E-05	0.9548	0.000979796	0	0
50	270	double	0.00824523	1.69551E-05	1.2432	0.0004	0	0
50	280	random	0.00900323	0.000382489	0.0649	0.00157797	0	0
50	280	decycling	0.00791575	2.67483E-05	0.9591	0.00654905	0	0
50	280	double	0.00788959	0.000064566	1.2432	0.000748331	0	0
50	290	random	0.00875117	0.000682407	0.0649	0.00175784	0	0
50	290	decycling	0.00762379	1.06349E-05	0.9552	0.0014	0	0
50	290	double	0.00762781	1.01504E-05	1.2433	0.000640312	0	0
50	300	random	0.00806373	0.000201358	0.0654	0.000663325	0	0
50	300	decycling	0.00733803	0.000037926	0.9545	0.00162788	0	0
50	300	double	0.00734469	1.38104E-05	1.2441	0.000943398	0	0
50	310	random	0.00781083	0.000124398	0.0641	0.0003	0	0
50	310	decycling	0.00708419	6.65589E-06	0.9577	0.0009	0	0
50	310	double	0.00708409	1.66092E-05	1.2452	0.0053066	0	0
50	320	random	0.00747334	0.00020455	0.0641	0.000538516	0	0
50	320	decycling	0.00684514	1.52669E-05	0.9547	0.00141774	0	0
50	320	double	0.00685064	2.57088E-05	1.2459	0.0003	0	0
50	330	random	0.00738641	0.000329689	0.0642	0.000979796	0	0
50	330	decycling	0.00661815	1.20341E-05	0.9548	0.00222711	0	0
50	330	double	0.00661859	1.03198E-05	1.2464	0.0008	0	0
50	340	random	0.00711198	0.000291435	0.0641	0.000830662	0	0
50	340	decycling	0.00639143	7.68276E-05	0.9568	0.00622575	0	0
50	340	double	0.0064053	1.74283E-05	1.2436	0.0012	0	0
50	350	random	0.00672804	7.47662E-05	0.0635	0.0005	0	0
50	350	decycling	0.0062102	2.05522E-05	0.9586	0.00827285	0	0
50	350	double	0.00620863	1.28287E-05	1.2457	0.000640312	0	0
20	30	random	0.175437	0.00767956	0.0925	0.00332415	0	0
20	30	decycling	0.170057	0.00956322	0.4357	0.0029	0	0
20	30	double	0.147018	0.000797225	0.5515	0.00473814	0	0
20	40	random	0.0922771	0.00421734	0.0781	0.00266271	0	0
20	40	decycling	0.0791939	0.000816437	0.4187	0.00257099	0	0
20	40	double	0.0722463	0.000440692	0.5442	0.00765245	0	0
20	50	random	0.0644484	0.00353034	0.0727	0.00184662	0	0
20	50	decycling	0.0515121	0.000417517	0.4148	0.0044	0	0
20	50	double	0.0504433	0.000293079	0.5389	0.000830662	0	0
20	60	random	0.0496201	0.00345338	0.0713	0.00241039	0	0
20	60	decycling	0.0403272	6.84528E-05	0.4203	0.0245725	0	0
20	60	double	0.0401299	8.27309E-05	0.5386	0.000916515	0	0
20	70	random	0.0395851	0.00212784	0.0704	0.0010198	0	0
20	70	decycling	0.0336066	0.000189813	0.4108	0.000748331	0	0
20	70	double	0.0335531	6.33627E-05	0.5385	0.00120416	0	0
20	80	random	0.0333881	0.00157748	0.0692	0.00107703	0	0
20	80	decycling	0.0288049	0.000106884	0.4106	0.0012	0	0
20	80	double	0.0287666	3.59417E-05	0.5391	0.000538516	0	0
20	90	random	0.028559	0.000997286	0.0794	0.0012	0	0
20	90	decycling	0.0251811	3.46358E-05	0.4101	0.000830662	0	0
20	90	double	0.025203	4.66649E-05	0.538	0.000632456	0	0
20	100	random	0.0256632	0.00180859	0.0688	0.00213542	0	0
20	100	decycling	0.0223569	7.56099E-05	0.4093	0.000640312	0	0
20	100	double	0.0223928	4.96112E-05	0.5375	0.000806226	0	0
20	110	random	0.0226083	0.00156984	0.0679	0.00181384	0	0
20	110	decycling	0.0201502	3.75204E-05	0.4092	0.0006	0	0
20	110	double	0.020117	0.000177247	0.5369	0.0007	0	0
20	120	random	0.0200717	0.000781061	0.0671	0.00113578	0	0
20	120	decycling	0.018296	7.07948E-05	0.416	0.00178885	0	0
20	120	double	0.0183329	6.13794E-05	0.5414	0.00224499	0	0
20	130	random	0.0179038	0.000265316	0.0661	0.000538516	0	0
20	130	decycling	0.0168437	4.34651E-05	0.4099	0.00197231	0	0
20	130	double	0.0167944	0.00016063	0.5372	0.000979796	0	0
20	140	random	0.0171469	0.000894554	0.0665	0.000921954	0	0
20	140	decycling	0.0155549	3.88099E-05	0.4167	0.0234352	0	0
20	140	double	0.0154907	0.000140409	0.5366	0.0008	0	0
20	150	random	0.0154302	0.000348414	0.0663	0.000458258	0	0
20	150	decycling	0.0144568	5.71245E-05	0.4097	0.00179165	0	0
20	150	double	0.0144228	3.22701E-05	0.5394	0.00174356	0	0
20	160	random	0.0145668	0.000560121	0.0658	0.00087178	0	0
20	160	decycling	0.0134537	3.09815E-05	0.4094	0.00195959	0	0
